Data Collected Date,Symbol,Company Name,Sector,Share Outstanding,Paid Up Capital,1 Year Price Change,Market Cap,EPS,P/E Ratio,BVPS,P/B,Recent Dividend
6/5/2025,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Ltd,Microfinance,"1,534,455","153,445,500.00",18%,"2,662,279,425.00","32.61 (Q3, FY 81/82)",53.2,156.86,16.12,FY 80/81
6/5/2025,SMH,Super Mai Hydropower Limited,Hydro Power,"5,350,000","535,000,000.00",22%,"4,659,315,000.00","11.65 (Q3, FY 81/82)",74.76,119.75,10.3,FY 80/81
6/5/2025,SMHL,Super Madi Hydropower Limited,Hydro Power,"22,050,000","2,205,000,000.00",81%,"21,728,290,500.00","5.31 (Q3, FY 81/82)",185.58,105.28,11.49,FY 80/81
6/5/2025,SMJC,Sagarmatha Jalabidhyut Company Limited,Hydro Power,"11,732,000","1,173,200,000.00",32%,"5,839,016,400.00","3.59 (Q3, FY 81/82)",138.64,107.26,6.95,FY 80/81
6/5/2025,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,0,0,0%,0,"20.37 (Q3, FY 81/82)",45.48,153.98,8.41,-
6/5/2025,SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance,"50,312,320","5,031,232,000.00",4%,"24,274,688,153.60","-5.22 (Q3, FY 81/82)",-92.43,125.3,6.82,FY 79/80
6/5/2025,SONA,Sonapur Minerals and Oil Limited,Manufacturing And Processing,"30,750,500","3,075,050,000.00",2%,"13,868,475,500.00","-3.29 (Q3, FY 81/82)",-137.08,185.86,3.35,-
6/5/2025,SPC,Samling Power Company Limited,Hydro Power,"5,000,000","500,000,000.00",-3%,"2,491,750,000.00","-3.22 (Q3, FY 81/82)",-154.77,105.63,6.53,-
6/5/2025,SPDL,Synergy Power Development Ltd.,Hydro Power,"12,098,625","1,209,862,500.00",57%,"4,409,343,881.25","4.81 (Q3, FY 81/82)",75.77,113.99,3.85,FY 77/78
6/5/2025,SPHL,Sayapatri Hydropower Limited,Hydro Power,"3,000,000","300,000,000.00",37%,"1,983,750,000.00","4.92 (Q3, FY 81/82)",134.4,93.14,11,-
6/5/2025,SPIL,Siddhartha Premier Insurance Limited,Non-Life Insurance,"28,065,499","2,806,549,900.00",7%,"23,434,411,010.01","21.55 (Q3, FY 81/82)",38.75,263.71,4.23,FY 80/81
6/5/2025,SPL,Shuvam Power Company Limited,Hydro Power,"2,000,000","200,000,000.00",15%,"1,588,340,000.00","2.87 (Q3, FY 81/82)",276.71,94.49,12.26,-
6/5/2025,SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,"50,149,240","5,014,924,000.00",-9%,"20,327,994,434.00","8.98 (Q3, FY 81/82)",45.14,109.25,5.04,FY 80/81
6/5/2025,SSHL,Shiva Shree Hydropower Limited,Hydro Power,"14,764,000","1,476,400,000.00",36%,"3,360,138,760.00","-8.34 (Q2, FY 81/82)",-27.29,11.94,38.26,-
6/5/2025,STC,Salt Trading Corporation,Tradings,"3,207,171","320,717,100.00",4%,"16,042,269,342.00","20.47 (Q3, FY 81/82)",244.36,529.13,12.99,FY 80/81
6/5/2025,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,"16,566,250","1,656,625,000.00",-6%,"13,321,087,287.50","9.68 (Q3, FY 81/82)",83.07,212.68,5.22,FY 80/81
6/5/2025,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,"11,062,860","1,106,286,000.00",-17%,"7,915,808,215.80","9.48 (Q3, FY 81/82)",75.48,140.16,6.85,FY 80/81
6/5/2025,TAMOR,Sanima Middle Tamor Hydropower Limited,Hydro Power,"33,325,000","3,332,500,000.00",26%,"16,282,595,000.00","8.46 (Q3, FY 81/82)",57.75,104.17,6.72,-
6/5/2025,TPC,Terhathum Power Company Limited,Hydro Power,"8,000,000","800,000,000.00",-32%,"2,692,400,000.00","7.36 (Q3, FY 81/82)",45.73,61.3,11.32,-
6/5/2025,TRH,Taragaon Regency Hotel Limited,Hotels And Tourism,"19,621,202","1,962,120,200.00",27%,"18,501,027,577.82","22.94 (Q3, FY 81/82)",41.1,152.59,9.26,FY 80/81
6/5/2025,TSHL,Three Star Hydropower Limited,Hydro Power,"4,925,000","492,500,000.00",37%,"3,365,991,250.00","-0.89 (Q3, FY 81/82)",-767.92,67.73,15.55,-
6/5/2025,TVCL,Trishuli Jal Vidhyut Company Limited,Hydro Power,"18,525,000","1,852,500,000.00",7%,"8,779,368,000.00","-1.32 (Q3, FY 81/82)",-359.03,84.12,8.76,-
6/5/2025,UAIL,United Ajod Insurance Limited,Non-Life Insurance,"21,000,000","2,100,000,000.00",3%,"12,190,710,000.00","7.37 (Q3, FY 81/82)",78.77,189.59,4.43,FY 79/80
6/5/2025,UHEWA,Upper Hewakhola Hydropower Company Limited,Hydro Power,"5,000,000","500,000,000.00",36%,"2,762,850,000.00","11.9 (Q3, FY 81/82)",46.43,111.14,7.75,-
6/5/2025,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,"1,061,482","106,148,200.00",87%,"3,925,105,680.32","28.11 (Q3, FY 81/82)",131.55,212.46,20.26,FY 78/79
6/5/2025,ULHC,Upper Lohore Khola Hydropower Company Limited,Hydro Power,"5,098,040","509,804,000.00",23%,"2,357,435,656.80","-102.06 (Q2, FY 81/82)",-4.53,108.67,9.85,-
6/5/2025,UMHL,United Modi Hydropower Ltd.,Hydro Power,"12,305,000","1,230,500,000.00",118%,"6,330,553,350.00","3.33 (Q3, FY 81/82)",154.5,108.25,5.68,FY 78/79
6/5/2025,UMRH,United IDI Mardi RB Hydropower Limited.,Hydro Power,"4,608,240","460,824,000.00",53%,"2,574,024,616.80","14.13 (Q3, FY 81/82)",39.53,114.86,6.88,FY 80/81
6/5/2025,UNHPL,Union Hydropower Limited,Hydro Power,"7,500,000","750,000,000.00",45%,"2,405,850,000.00","3.9 (Q3, FY 81/82)",82.25,100.32,4.22,-
6/5/2025,UNL,Unilever Nepal Limited,Manufacturing And Processing,"920,700","92,070,000.00",1%,"42,812,550,000.00","697.94 (Q3, FY 81/82)",66.62,5148.21,12.07,FY 80/81
6/5/2025,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,"1,485,750","148,575,000.00",3%,"3,075,235,065.00","30.08 (Q3, FY 81/82)",68.81,264.97,11.23,-
6/5/2025,UPCL,UNIVERSAL POWER COMPANY LTD,Hydro Power,"22,799,300","2,279,930,000.00",151%,"10,684,207,966.00","6.22 (Q3, FY 81/82)",75.34,111.09,3.68,FY 79/80
6/5/2025,UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power,"211,800,000","21,180,000,000.00",23%,"42,139,728,000.00","-13.02 (Q3, FY 81/82)",-15.28,46.79,5.62,-
6/5/2025,USHEC,Upper Solu Hydro Electric Company Limited,Hydro Power,"13,500,000","1,350,000,000.00",9%,"5,831,730,000.00","12.13 (Q3, FY 81/82)",35.61,103.54,7.24,-
6/5/2025,USHL,Upper Syange  Hydropower Limited,Hydro Power,"2,200,000","220,000,000.00",23%,"1,355,706,000.00","-9.88 (Q3, FY 81/82)",-62.37,51.54,18.11,-
6/5/2025,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,"2,468,660","246,866,000.00",-5%,"4,621,134,027.20","20.49 (Q3, FY 81/82)",91.36,146.15,15.76,FY 77/78
6/5/2025,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,"7,450,404","745,040,400.00",-26%,"6,013,668,092.64","13.97 (Q3, FY 81/82)",57.78,162.85,7.11,FY 79/80
6/5/2025,VLUCL,Vision Lumbini Urja Company Limited,Hydro Power,"19,125,000","1,912,500,000.00",21%,"11,293,312,500.00","1.05 (Q3, FY 81/82)",562.38,137.17,6.2,-
6/5/2025,WNLB,WEAN Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,"843,406","84,340,600.00",51%,"1,838,802,195.26","4.29 (Q3, FY 81/82)",508.21,130.78,31.88,FY 79/80
